,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.9967320261437909,0.9934640522875817,0.9932885906040269,0.9967320261437909,0.9934640522875817
M2,0.9215686274509803,0.9117647058823529,0.9496644295302014,0.9215686274509803,0.9117647058823529
M3,0.9150326797385621,0.9379084967320261,0.9395973154362416,0.9150326797385621,0.9379084967320261
M4,0.9869281045751634,0.9803921568627451,0.9630872483221476,0.9869281045751634,0.9803921568627451
M5,0.8496732026143791,0.8398692810457516,0.8691275167785235,0.8496732026143791,0.8398692810457516
